   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
 2003 Aug ,"4,079","113,944","39,574","18,258","27,273","5,599","1,873","43,016","34,391","52,847","19,466","30,591","28,782",913,"5,858",559,"1,022","2,863","34,753","11,170","6,819","2,403","5,030","1,148","1,459","2,534",789,"4,444","3,218","25,810","3,917","36,673","7,990","7,009"
 2003 Sep ,"3,748","114,193","42,631","16,008","22,090","4,086","1,730","47,623","17,839","57,716","13,190","20,942","30,343",904,"4,381",326,311,"1,294","28,462","11,026","4,256","1,529","4,147",665,"1,150","2,733",867,"4,497","3,226","22,092","3,548","41,637","9,043","4,759"
 2003 Oct ,"3,411","116,306","43,748","18,352","29,792","4,180","1,705","38,418","19,234","56,700","14,982","24,175","34,556","1,038","4,518",266,148,"1,130","33,594","12,414","5,281","1,926","5,346",628,"1,768","3,482",968,"6,140","3,618","23,995","4,202","41,675","8,145","5,490"
 2003 Nov ,"3,462","159,897","49,202","17,261","20,073","4,654","1,602","37,630","18,368","67,541","12,271","29,059","30,454",715,"3,867",317,137,"1,385","37,490","13,257","5,740","2,050","5,358",784,"1,571","3,966",971,"6,399","4,254","26,220","5,218","36,461","6,625","5,065"
 2003 Dec ,"6,724","176,167","52,321","18,254","22,812","5,477","2,044","47,021","21,778","71,068","12,233","24,125","36,492",914,"6,073",460,284,"1,451","40,177","10,142","5,432","1,932","4,964",677,"1,337","3,616",895,"7,606","4,888","26,600","5,841","41,892","6,081","7,544"
 2004 Jan ,"3,192","139,753","41,704","14,347","21,826","5,480","1,829","39,191","22,763","79,717","17,014","30,255","29,154",721,"3,746",497,387,"1,491","44,851","10,068","5,433","1,898","5,283",762,"1,122","3,622",918,"8,422","6,749","26,726","6,859","46,724","7,010","5,793"
 2004 Feb ,"3,351","119,369","37,077","16,601","21,433","5,576","1,680","43,760","17,189","50,903","13,918","29,835","29,634",759,"4,302",399,352,"1,308","46,809","12,821","7,370","2,224","5,558",749,"1,382","3,914","1,064","9,569","4,525","29,171","6,286","35,862","5,438","4,371"
 2004 Mar ,"4,033","126,500","41,179","19,951","27,951","7,338","2,190","53,022","18,564","53,481","13,060","25,853","28,621",956,"4,219",415,148,"1,376","47,657","14,417","5,905","2,213","5,149",765,"1,368","3,721","1,189","8,517","4,878","28,456","5,891","36,867","6,071","6,105"
 2004 Apr ,"3,348","126,701","41,829","25,771","35,796","6,182","3,356","38,801","24,158","75,068","13,484","26,713","36,001","1,033","6,524",503,219,"1,445","39,817","11,538","6,057","1,786","3,946",873,"1,442","3,713",886,"6,877","3,949","23,984","4,829","44,385","8,761","5,839"
 2004 May ,"3,205","128,787","45,222","25,937","29,237","7,247","3,232","43,714","23,922","70,021","13,963","31,482","59,626",996,"7,374",399,184,"1,254","27,567","9,537","5,525","1,885","3,807",739,"1,009","2,942",714,"4,686","4,215","26,308","4,522","42,088","9,285","4,734"
 2004 Jun ,"4,784","154,243","47,517","20,354","27,410","12,710","2,338","44,112","21,679","63,014","15,181","29,912","52,647","1,416","10,083",586,541,"1,892","26,078","8,429","5,221","1,791","3,583",891,"1,124","2,683",765,"5,858","3,940","30,146","4,516","47,565","11,215","5,064"
 2004 Jul ,"3,667","182,352","41,668","19,861","29,903","15,149","2,532","56,066","27,380","92,649","21,955","35,568","38,969","2,153","5,327","1,570","2,269","4,567","35,270","10,837","7,753","2,574","6,569","1,342","1,723","3,851","1,356","7,025","4,733","32,016","5,662","56,404","13,378","7,394"
 2004 Aug ,"3,286","134,916","44,390","17,701","27,482","12,865","2,654","66,617","30,887","90,212","19,708","38,602","35,777","1,508","5,555","1,350","2,877","5,060","37,714","12,305","9,350","4,399","6,046","1,679","1,529","3,237","1,369","4,412","4,441","28,450","5,874","44,785","10,555","6,955"
 2004 Sep ,"2,956","139,129","40,705","19,447","26,506","7,451","2,431","62,264","19,562","62,134","13,542","25,956","35,575","1,415","5,689",529,566,"1,769","30,600","12,195","5,532","2,229","4,855",888,"1,230","3,611","1,106","4,814","4,045","23,229","4,456","54,696","12,758","6,005"
 2004 Oct ,"3,370","137,833","43,938","23,540","39,140","8,347","2,448","51,340","21,884","70,449","13,840","26,936","39,645","1,212","7,799",296,175,"1,314","36,555","14,064","6,354","2,243","5,566","1,178","1,342","4,297","1,169","7,164","4,867","26,403","5,923","51,439","9,855","5,789"
 2004 Nov ,"3,525","189,734","54,950","20,547","22,794","8,020","2,262","48,066","19,317","88,223","12,747","31,623","41,149",996,"5,854",397,167,"1,818","40,378","14,881","6,332","2,371","5,778",772,"1,396","4,501","1,464","8,044","5,488","27,698","6,549","43,188","7,110","5,823"
 2004 Dec ,"7,370","186,105","57,108","21,838","32,487","9,442","2,981","51,858","24,381","84,369","14,030","28,344","44,409","1,146","6,732",346,276,"1,864","43,956","11,276","7,053","2,051","5,259",928,"1,459","4,143","1,122","8,898","6,729","30,558","7,509","57,216","7,627","10,004"
 2005 Jan ,"3,626","146,228","39,478","18,149","25,070","6,590","2,498","48,004","17,457","45,801","16,774","20,386","33,541","1,079","3,687",586,228,"1,661","47,854","12,093","5,885","2,217","6,257",921,"1,368","3,981","1,212","9,175","9,069","31,813","8,100","62,379","8,638","6,931"
 2005 Feb ,"2,811","120,901","40,338","18,763","26,578","9,030","2,300","40,310","28,713","61,601","19,104","24,531","29,091",836,"3,933",250,206,"1,142","46,323","13,051","6,700","1,947","5,932",622,"1,379","4,037","1,077","9,266","4,709","28,453","6,366","39,562","5,603","4,675"
 2005 Mar ,"4,570","151,096","47,677","25,520","37,515","9,335","3,084","52,225","31,089","52,249","15,669","23,476","43,064","1,213","5,075",344,151,"1,792","53,323","16,427","6,927","2,293","5,564",743,"1,642","4,224","1,235","9,692","5,564","33,209","6,608","43,282","7,365","7,150"
 2005 Apr ,"3,529","132,420","47,509","28,754","43,410","13,657","4,370","41,599","23,614","68,775","16,345","28,923","44,459","1,198","8,018",445,173,"1,622","38,553","12,633","6,871","1,930","4,601",705,"1,311","3,732",966,"6,218","4,520","25,776","5,023","44,999","9,422","7,205"
 2005 May ,"3,455","135,357","47,577","34,121","33,739","12,535","3,196","43,968","25,187","62,872","16,019","28,927","71,892","1,175","5,315",395,162,"1,625","27,649","11,798","6,113","2,011","4,783",660,"1,134","3,230",901,"5,098","4,735","28,910","5,212","46,175","10,440","5,759"
 2005 Jun ,"5,248","161,399","53,485","26,305","30,260","16,788","3,361","43,020","23,843","61,150","16,710","32,366","65,849","1,663","5,280",669,478,"2,504","27,311","9,240","5,352","2,169","4,553",764,"1,221","2,827",749,"6,147","4,433","33,215","4,783","55,188","11,481","6,489"
 2005 Jul ,"3,738","192,448","44,301","25,811","31,991","22,286","3,628","49,791","35,295","93,889","27,702","42,961","51,155","1,854","5,665","1,263","1,129","4,942","35,875","11,736","8,243","2,791","6,993","1,109","1,671","4,386","1,216","7,489","5,460","36,069","6,501","60,895","14,219","7,538"
 2005 Aug ,"3,220","134,727","45,880","27,093","29,772","17,920","2,903","61,522","38,649","101,134","22,950","42,791","44,678","1,679","6,158","1,170","1,492","5,086","39,335","13,070","10,103","5,048","6,112","1,098","1,728","3,637","1,415","5,123","5,095","31,816","6,723","48,381","11,235","7,138"
 2005 Sep ,"3,983","136,276","43,998","27,510","28,915","10,764","2,666","57,085","23,649","67,061","15,670","25,572","43,975","1,393","5,625",783,411,"2,089","31,655","12,800","5,708","2,494","4,803",704,"1,097","3,590","1,141","5,543","5,076","25,977","4,882","60,587","12,915","6,693"
 2005 Oct ,"3,202","141,565","46,161","31,553","37,085","9,729","2,956","49,532","22,996","74,501","17,754","30,060","53,562","1,457","6,037",234,101,"1,375","35,986","15,114","6,029","3,021","5,575",777,"1,384","4,979","1,346","6,970","5,943","28,775","6,300","53,289","11,096","5,853"
 2005 Nov ,"3,614","173,305","61,060","28,458","24,961","10,155","3,095","50,402","20,552","88,704","14,094","31,277","48,170","1,163","5,140",401,236,"2,011","41,193","15,300","6,375","2,405","5,996",714,"1,658","4,561","1,698","7,722","6,609","32,993","8,281","46,304","8,340","6,741"
 2005 Dec ,"6,863","187,847","60,523","27,934","29,744","11,837","3,814","50,994","22,770","79,945","15,123","32,803","53,965","1,235","8,091",453,210,"2,213","42,022","11,517","6,618","2,325","5,311",753,"1,348","3,919","1,179","7,913","7,388","34,349","8,145","59,155","8,735","9,780"
 2006 Jan ,"3,010","152,123","42,836","23,133","24,544","9,588","3,153","45,402","23,587","81,734","19,898","40,604","43,086",974,"4,705",544,280,"2,341","45,886","12,340","6,175","2,563","6,065",811,"1,483","4,011","1,382","9,398","10,078","32,807","8,896","63,495","9,035","7,294"
 2006 Feb ,"3,177","122,336","44,419","25,592","26,200","10,794","2,658","44,695","22,743","96,562","17,723","40,835","40,083","1,218","4,610",329,226,"1,602","50,690","14,776","7,646","2,673","5,862",698,"1,569","4,245","1,331","10,675","6,998","32,611","7,818","42,262","5,485","5,405"
 2006 Mar ,"4,075","141,056","52,980","31,939","32,483","11,863","3,615","62,353","21,726","91,092","16,227","36,144","50,070","1,457","5,396",482,210,"2,251","54,936","18,964","7,748","2,859","6,014",816,"1,500","4,614","1,499","9,386","8,060","36,044","8,255","53,965","6,317","7,210"
 2006 Apr ,"3,457","147,235","51,480","37,713","37,862","12,993","4,699","41,269","28,836","97,423","17,657","31,780","53,531","1,251","8,626",754,203,"2,094","41,716","16,067","7,712","2,543","4,729",885,"1,571","4,909","1,209","7,348","6,926","28,940","6,407","63,480","10,618","8,729"
 2006 May ,"2,955","146,039","49,755","39,995","30,587","11,755","3,678","42,907","24,008","78,594","15,410","34,236","80,687","1,611","5,354",467,170,"2,067","28,313","10,865","6,787","2,516","4,413",673,"1,193","3,775",838,"4,601","6,678","30,705","5,905","51,237","9,736","6,443"
 2006 Jun ,"4,859","167,216","56,325","29,790","28,946","17,513","3,547","43,153","23,998","71,213","17,393","36,327","67,838","2,279","5,811",812,349,"2,994","26,141","9,356","6,104","2,566","4,280",630,"1,192","2,831",799,"5,200","5,212","36,431","5,043","60,988","12,559","6,245"
 2006 Jul ,"3,822","192,166","48,104","30,567","29,003","20,816","4,643","52,407","28,265","113,127","27,109","45,685","53,121","3,320","6,078","1,785",853,"5,445","34,260","11,095","8,889","2,842","7,156","1,029","1,729","4,228","1,467","6,883","6,196","39,092","6,967","66,485","14,742","8,708"
 2006 Aug ,"3,389","164,474","51,108","29,722","27,775","17,916","3,977","62,970","30,672","103,459","23,438","44,846","49,536","2,500","6,796","1,842","1,316","5,354","39,950","12,952","11,062","5,698","6,595","1,294","1,674","4,105","1,385","4,949","6,917","33,504","6,442","55,387","12,738","7,965"
 2006 Sep ,"3,511","136,514","46,751","29,747","26,498","12,514","3,568","51,284","20,463","63,550","15,350","29,315","49,413","1,551","5,558",666,315,"2,012","32,342","12,532","6,297","2,904","5,264",936,"1,381","4,048","1,197","5,408","6,546","29,118","4,773","59,479","12,957","7,011"
 2006 Oct ,"2,950","210,355","61,466","36,293","35,860","12,537","4,008","47,552","21,801","70,690","17,087","35,025","58,389","1,290","5,669",501,123,"2,701","40,387","14,840","7,179","2,548","6,281",879,"1,664","5,304","1,355","7,726","7,441","29,829","5,996","61,388","10,442","6,607"
 2006 Nov ,"3,782","137,074","56,439","35,718","26,895","12,867","4,125","52,047","22,845","88,343","15,953","43,791","51,570","1,485","5,958",609,238,"2,336","45,786","15,428","7,632","2,876","6,157",954,"1,714","5,396","1,700","8,360","8,326","35,157","7,987","49,822","7,548","7,601"
 2006 Dec ,"6,344","205,629","72,640","35,910","29,714","13,949","4,987","48,367","22,530","81,414","16,218","36,134","61,578","1,590","8,721",758,352,"2,816","47,760","11,910","6,967","3,069","5,358",836,"1,430","4,414","1,244","8,775","9,453","35,548","8,915","63,644","7,888","11,296"
 2007 Jan ,"3,813","158,510","45,147","27,798","25,863","12,555","4,887","49,959","19,559","76,116","17,156","46,756","52,339","1,654","5,057",494,328,"2,645","51,913","14,366","8,494","3,986","6,039",930,"1,504","4,942","1,575","10,910","13,980","36,947","8,510","68,190","7,778","8,981"
 2007 Feb ,"3,471","120,382","48,175","30,588","22,575","11,969","3,749","46,920","26,025","111,934","23,307","31,464","42,507","1,216","4,797",664,290,"1,944","50,663","14,016","9,103","3,442","5,793",796,"1,425","4,533","1,977","11,128","9,228","30,990","8,037","40,252","5,063","5,005"
 2007 Mar ,"4,547","153,855","52,269","39,195","33,087","14,060","5,480","58,843","22,361","79,239","16,091","42,071","53,444","1,731","6,356",775,215,"2,730","57,778","18,555","9,755","3,218","6,252",973,"1,729","5,056","1,867","10,840","9,757","38,849","8,756","52,493","6,605","8,405"
 2007 Apr ,"3,265","142,560","51,360","43,107","34,500","15,553","6,838","37,962","29,338","99,136","15,343","32,219","59,244","1,448","9,160",802,261,"2,855","42,338","13,137","7,858","2,295","4,648",792,"1,512","4,922","1,103","8,043","7,453","30,253","6,559","58,557","8,786","9,707"
 2007 May ,"3,641","155,604","51,348","42,047","30,555","14,995","5,295","38,813","25,261","85,198","14,952","34,408","97,637","1,573","7,378",618,202,"2,794","29,518","10,999","6,783","2,568","4,623",677,"1,272","4,001",989,"5,404","5,905","31,180","5,916","58,832","10,160","6,817"
 2007 Jun ,"5,136","180,643","59,152","35,997","29,419","23,153","5,299","41,289","25,551","77,239","16,868","38,027","80,829","2,423","5,968",905,445,"3,347","27,587","9,677","6,130","2,476","4,540",569,"1,219","3,251",911,"5,621","5,161","34,838","5,279","66,784","12,414","7,065"
 2007 Jul ,"4,219","193,024","50,725","35,032","32,250","24,935","5,537","49,234","31,990","108,881","24,849","46,123","58,731","3,715","6,384","1,878","1,112","6,703","34,662","12,388","9,451","3,073","7,568","1,196","2,101","4,963","1,361","7,230","6,978","39,483","6,827","75,658","13,648","9,358"
 2007 Aug ,"3,631","159,570","55,293","34,096","29,149","23,778","4,798","58,288","32,177","114,463","21,028","45,910","56,204","2,804","7,995","1,863","1,283","6,050","38,607","13,544","11,861","6,079","7,224","1,149","2,019","4,389","1,432","5,695","7,114","33,668","7,218","62,205","11,010","9,075"
 2007 Sep ,"3,656","136,054","49,733","32,523","27,135","15,574","6,099","54,186","22,902","76,181","16,276","30,265","55,188","1,486","5,906",555,226,"2,468","32,983","13,741","6,416","2,819","5,519",680,"1,540","4,041","1,252","6,058","6,213","27,391","5,148","71,269","12,290","6,829"
 2007 Oct ,"3,292","215,886","58,591","36,179","36,655","14,631","4,985","51,825","23,224","83,831","14,426","33,383","59,747","1,603","5,996",617,223,"3,014","41,140","15,364","7,217","2,734","6,468",793,"1,655","5,157","1,473","8,359","7,836","34,968","7,980","74,693","11,456","7,960"
 2007 Nov ,"4,139","136,473","55,020","32,059","26,309","15,333","5,042","53,784","22,638","103,906","13,742","43,965","63,189","1,584","6,006",496,247,"2,700","44,794","16,252","8,322","3,072","5,930",709,"1,730","5,389","1,603","8,930","8,334","34,509","7,665","60,543","7,968","6,794"
 2007 Dec ,"7,437","209,494","68,961","30,154","25,919","16,674","6,719","53,411","21,084","97,832","14,118","39,701","69,669","1,634","8,402",888,410,"3,804","43,710","12,861","7,879","2,984","5,747",847,"1,554","4,459","1,153","9,984","9,925","35,809","8,732","79,014","9,550","12,792"
 2008 Jan ,"4,126","155,708","45,984","24,635","25,851","12,927","6,090","52,973","19,817","108,486","16,342","50,432","58,365","1,701","6,211",443,308,"2,946","47,607","14,269","8,771","3,719","5,988",720,"1,574","4,884","1,354","11,653","15,177","36,447","8,760","82,778","8,994","9,515"
 2008 Feb ,"3,338","124,940","50,318","28,674","23,320","17,171","5,329","47,449","27,263","121,031","17,829","40,998","49,078","1,252","5,789",640,310,"2,439","51,178","15,670","9,093","3,226","5,948",653,"1,672","4,834","1,380","11,452","8,952","33,006","7,661","52,457","5,365","5,032"
 2008 Mar ,"5,406","155,238","56,359","37,117","31,641","17,961","6,989","57,364","27,600","98,180","13,778","39,683","57,776","2,055","6,073",687,250,"3,642","61,263","18,467","9,707","3,420","6,107",820,"2,152","5,642","1,495","12,522","9,822","39,004","8,239","61,681","6,846","7,743"
 2008 Apr ,"3,409","131,809","53,749","39,347","36,226","19,097","8,873","36,301","20,232","107,639","13,944","33,946","62,908","1,502","9,426",719,220,"3,491","41,645","14,169","9,897","3,556","5,805",690,"1,598","5,993","1,220","7,492","8,431","31,189","6,058","63,079","8,378","7,913"
 2008 May ,"3,927","137,243","52,115","41,872","30,487","18,193","6,199","42,382","22,867","86,785","14,276","36,412","103,468","1,663","6,283",533,157,"3,029","29,785","11,609","8,451","2,638","5,542",524,"1,449","5,038","1,027","5,358","8,536","30,862","5,699","65,901","9,880","5,917"
 2008 Jun ,"5,959","154,546","53,217","33,708","26,211","27,272","6,292","40,879","23,055","70,565","13,146","35,998","84,143","2,551","5,799",885,404,"4,625","27,578","10,893","7,147","2,450","4,945",494,"1,409","3,830",893,"6,627","6,912","35,304","5,078","73,802","10,554","6,437"
 2008 Jul ,"4,505","168,492","46,968","34,135","28,884","29,462","7,068","47,659","28,218","105,528","19,398","39,614","63,373","3,749","6,286","1,592","1,022","8,182","33,476","13,500","11,267","3,971","7,759",763,"2,243","5,896","1,550","8,361","8,596","39,087","6,838","79,776","13,056","8,306"
 2008 Aug ,"4,627","134,811","44,118","34,984","25,901","24,828","6,680","53,699","26,847","91,325","16,923","42,338","58,626","2,492","8,029","1,911","1,094","7,253","39,090","14,690","13,597","6,556","7,241","1,077","2,108","5,361","1,495","5,597","8,850","32,440","6,026","65,465","10,578","8,739"
 2008 Sep ,"3,569","144,158","44,892","34,314","24,530","16,065","5,815","48,771","20,765","66,582","12,303","25,914","53,488","1,115","4,969",474,137,"3,266","34,246","14,033","7,682","3,397","5,476",798,"1,440","4,873","1,359","5,874","7,878","25,160","4,273","72,816","10,776","6,019"
 2008 Oct ,"3,340","158,276","54,973","38,577","34,193","18,719","6,581","47,736","20,016","76,836","13,503","30,930","67,510","1,335","6,018",750,265,"3,898","39,720","16,762","8,200","3,077","6,525",824,"1,563","6,014","1,476","7,946","9,544","31,842","6,708","75,866","11,008","7,882"
 2008 Nov ,"3,989","119,530","60,463","34,208","21,914","17,701","5,738","48,225","19,197","79,096","12,535","24,445","56,927","1,739","5,631",607,221,"3,082","43,739","16,946","8,782","3,367","6,121",785,"2,033","6,570","1,811","8,073","10,667","30,713","7,040","60,257","7,239","6,494"
 2008 Dec ,"8,090","180,678","84,324","37,367","24,747","19,903","6,928","47,602","22,238","66,689","11,947","22,308","62,641","1,844","9,304",855,450,"5,317","43,606","14,272","8,604","3,658","5,773",897,"1,859","5,853","1,589","9,340","10,919","31,577","7,664","79,278","8,098","10,634"
 2009 Jan ,"4,080","118,342","44,243","26,249","22,661","19,870","5,521","38,382","23,399","105,144","15,986","25,516","46,752","1,257","4,322",446,201,"3,598","41,540","14,551","8,168","3,564","5,696",681,"1,472","5,378","1,583","10,789","15,076","28,845","7,121","80,008","7,812","6,879"
 2009 Feb ,"3,421","103,501","45,726","28,911","23,335","19,292","4,909","42,807","19,720","80,037","12,744","27,387","42,275","1,314","4,598",819,228,"2,678","47,245","14,985","9,002","3,154","5,701",652,"1,447","5,456","1,559","9,539","9,223","26,724","6,443","51,144","4,327","4,454"
 2009 Mar ,"5,390","128,446","59,660","35,718","28,055","18,307","5,916","46,797","21,290","91,275","12,542","20,759","46,779","1,503","4,340",781,188,"3,631","52,832","19,351","10,418","3,979","5,917",666,"1,868","5,605","1,575","9,249","9,928","32,022","7,104","54,821","4,819","5,577"
 2009 Apr ,"3,759","126,815","51,299","44,622","32,151","21,663","8,226","31,633","28,587","86,525","11,970","21,323","55,994","1,442","7,845",719,197,"4,177","41,612","15,931","9,831","2,861","5,109",603,"1,946","6,162","1,320","8,184","8,001","28,287","5,866","65,046","6,620","6,056"
 2009 May ,"3,935","129,444","54,995","42,460","27,066","20,397","5,512","29,800","21,529","52,058","11,602","21,854","90,395","1,460","4,544",671,276,"3,557","29,410","11,002","8,642","3,069","4,889",519,"1,316","4,392",897,"5,044","7,634","26,832","4,956","59,136","7,963","5,020"
 2009 Jun ,"5,618","159,603","61,465","33,487","24,479","28,171","5,150","28,060","21,703","41,650","11,486","20,991","78,538","3,014","4,992",849,572,"4,115","26,538","10,373","7,685","3,038","4,654",747,"1,447","3,709",842,"5,715","6,662","32,615","4,495","65,796","9,342","5,633"
 2009 Jul ,"3,598","169,634","54,087","32,072","26,643","32,814","6,147","46,633","33,382","72,326","17,351","30,389","65,978","3,756","5,820","1,807","1,843","6,655","34,303","13,356","11,867","3,623","9,498","1,021","2,387","6,023","1,554","7,498","7,759","37,270","5,732","79,439","10,879","7,372"
 2009 Aug ,"3,520","131,985","61,893","35,930","23,533","24,506","4,850","50,698","36,218","86,530","17,490","32,332","54,631","2,358","7,523","1,503",821,"5,466","37,578","15,563","16,005","8,871","8,954","1,517","2,254","4,832","1,661","5,107","8,501","32,539","5,623","67,152","8,957","6,806"
 2009 Sep ,"4,257","182,901","68,008","35,289","23,587","17,520","5,042","52,561","21,509","59,588","10,443","15,714","57,110","1,055","5,616",771,345,"3,644","34,738","14,742","8,383","3,727","6,076",747,"1,707","4,533","1,592","6,056","8,056","25,190","3,761","73,407","9,259","5,116"
 2009 Oct ,"3,988","137,011","69,426","38,367","35,977","20,939","6,249","43,247","25,512","83,273","13,208","16,069","67,239","1,461","6,242",666,254,"3,078","40,654","17,384","10,012","3,695","7,021",718,"1,806","6,314","1,697","7,958","9,341","32,734","5,752","81,622","9,431","6,708"
 2009 Nov ,"5,260","143,014","82,747","37,810","23,588","19,905","5,694","38,949","20,525","90,358","11,900","19,620","49,836","1,495","6,078","1,069",413,"4,631","43,724","20,619","10,339","3,436","6,431",612,"1,967","6,119","1,970","8,604","10,304","34,402","6,391","68,570","7,570","6,258"
 2009 Dec ,"9,705","214,634","110,760","41,157","26,830","22,030","7,056","40,420","21,046","87,983","10,039","20,033","70,097","2,165","8,090",714,412,"4,299","39,582","15,824","9,376","3,753","6,413",767,"1,748","5,306","1,255","9,106","9,944","33,244","6,790","84,158","6,855","10,514"
 2010 Jan ,"5,245","173,640","67,942","32,704","24,635","19,109","5,512","37,747","19,415","98,918","15,511","39,437","57,404","1,585","4,770",513,443,"3,686","44,522","18,091","10,010","4,619","6,597",755,"1,954","6,078","1,709","11,135","15,603","35,514","6,860","89,584","8,392","7,373"
 2010 Feb ,"4,139","143,921","68,678","32,510","23,154","20,478","4,583","40,669","24,904","143,050","17,738","29,589","46,061","1,292","4,734",714,587,"3,036","47,559","17,337","10,684","3,821","6,328",684,"1,882","6,100","1,574","11,005","9,941","31,167","6,424","55,364","4,481","4,442"
 2010 Mar ,"5,692","166,036","81,757","43,959","31,815","21,338","7,000","51,836","26,245","88,038","15,220","30,113","53,966","1,662","5,375",689,468,"3,842","54,448","24,044","11,349","4,014","6,767",810,"2,249","6,485","2,081","11,557","11,355","37,123","7,048","63,659","5,602","5,916"
 2010 Apr ,"3,943","163,076","77,476","54,454","50,657","26,681","9,646","35,179","35,564","91,702","14,509","24,785","73,219","1,707","9,961","1,038",305,"4,301","41,354","17,908","11,283","3,527","5,571",630,"2,089","6,926","1,401","7,744","8,272","33,480","6,734","70,079","6,639","6,459"
 2010 May ,"4,796","185,809","81,937","55,312","38,925","26,153","6,556","36,827","32,047","71,636","17,111","32,161","115,965","1,565","6,043",771,451,"3,764","29,285","14,058","10,323","3,406","5,881",577,"1,542","6,413","1,314","5,295","8,018","32,124","5,457","63,517","8,109","5,015"
 2010 Jun ,"5,953","214,445","93,089","44,491","30,712","35,590","6,236","36,469","32,190","69,081","13,542","30,033","83,472","2,926","5,750",942,806,"4,620","25,734","11,839","8,359","3,201","4,907",566,"1,535","4,338","1,140","6,349","6,914","39,055","4,969","74,597","9,655","5,103"
 2010 Jul ,"5,578","232,630","82,611","43,441","37,256","43,861","6,879","44,649","46,727","117,778","23,937","32,673","64,912","3,908","6,207","2,400","2,548","8,870","31,806","14,647","11,904","4,084","8,447",611,"2,625","6,888","1,916","7,810","8,509","41,173","6,646","87,289","10,847","6,388"
 2010 Aug ,"4,244","165,525","75,916","39,283","34,804","32,844","5,838","56,680","46,696","130,593","20,959","34,169","57,109","1,510","7,816",972,719,"6,133","34,990","17,269","15,794","8,781","7,884",906,"2,542","6,148","2,013","5,519","10,653","34,225","6,397","68,222","9,122","7,004"
 2010 Sep ,"4,628","243,869","95,484","40,672","30,711","24,338","5,376","45,012","28,469","74,457","13,486","25,665","54,860","1,125","5,759","1,345",535,"4,299","31,692","15,994","8,362","3,734","5,740",501,"1,878","4,978","1,486","5,274","8,282","27,957","4,337","80,293","9,481","5,751"
 2010 Oct ,"3,750","178,939","82,803","52,011","57,951","24,692","6,482","43,497","32,834","92,627","13,854","29,009","75,574","1,469","6,295",902,380,"3,683","37,576","18,241","10,062","3,328","6,352",687,"1,977","7,045","1,823","7,963","9,882","36,707","6,161","77,097","8,799","6,024"
 2010 Nov ,"4,673","176,118","99,975","50,094","30,197","21,246","5,953","51,542","29,852","94,035","13,133","27,814","72,920","1,401","5,786","1,554",723,"5,729","43,246","22,283","11,753","4,394","6,077",562,"2,168","7,086","2,162","8,458","10,795","34,324","6,485","64,152","7,245","5,847"
 2010 Dec ,"9,516","262,235","129,821","55,518","39,250","26,550","8,277","48,844","32,636","99,578","12,186","25,255","73,532","1,777","10,477",793,403,"4,513","39,557","17,552","10,578","4,177","5,969",717,"1,958","5,891","1,474","8,375","11,522","34,346","7,624","86,705","7,418","10,218"
 2011 Jan ,"4,547","208,232","78,342","43,339","33,230","19,704","6,457","48,799","29,322","132,040","18,218","41,070","63,078","1,572","5,721",849,455,"3,992","41,408","19,862","10,957","5,048","6,722",749,"2,059","6,859","1,878","10,758","17,367","38,267","7,897","98,023","8,102","7,865"
 2011 Feb ,"3,890","177,003","81,747","48,107","31,019","26,850","5,897","58,190","38,190","149,941","19,139","36,810","50,696","1,161","5,908","1,208",631,"3,429","41,665","19,290","10,755","3,518","6,229",524,"1,755","6,551","1,882","9,967","10,206","33,944","6,898","58,135","4,287","3,911"
 2011 Mar ,"5,795","191,842","96,418","59,922","45,728","23,756","8,466","59,999","32,721","129,749","15,222","29,619","57,601","1,361","5,635",792,392,"4,654","49,753","23,715","12,342","5,155","7,100",735,"2,452","7,002","1,839","9,338","12,266","43,236","9,415","65,885","6,939","5,544"
 2011 Apr ,"3,747","194,335","87,230","76,197","55,662","24,152","11,168","38,311","52,413","131,797","18,828","28,004","74,097","1,490","9,706","1,231",342,"4,447","44,966","18,274","11,852","3,583","5,949",532,"2,198","7,598","1,555","8,516","8,412","34,124","7,163","85,297","11,322","6,533"
 2011 May ,"4,007","199,881","90,528","72,488","44,274","24,500","7,893","41,594","37,886","110,920","18,758","33,736","114,316","1,653","5,744",936,378,"4,179","28,282","12,628","10,086","3,499","5,445",511,"1,623","5,333","1,205","5,117","7,334","34,105","6,116","72,365","12,893","4,539"
 2011 Jun ,"6,510","253,383","97,856","52,257","32,783","36,751","7,571","38,061","37,962","103,335","20,445","34,233","90,742","2,740","5,296","1,512",862,"5,064","24,462","12,094","7,990","3,099","4,924",446,"1,498","4,497","1,010","5,851","7,051","39,712","5,125","84,371","12,891","5,261"
 2011 Jul ,"5,522","251,419","90,175","50,938","40,848","45,542","9,196","55,479","56,960","183,862","33,454","40,587","71,209","3,568","7,585","3,696","2,404","9,149","30,659","15,675","13,943","4,151","9,682",555,"2,683","7,318","1,779","8,720","9,216","43,187","7,098","94,690","15,973","7,462"
