   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
 1982 Nov , na , na , na , na , na , na , na ,"32,760","6,035",104,"5,413","3,502","12,301","1,415","1,846","1,328",146,603,"13,399","5,732","3,241","1,713","3,137", na ,662,"2,829", na ,"4,078",459,"14,065","2,017","22,560","3,707","1,036"
 1982 Dec , na , na , na , na , na , na , na ,"27,014","8,182",179,"6,056","3,183","10,131","1,422","2,005","1,712",199,795,"13,234","5,026","2,741","1,488","2,889", na ,557,"2,302", na ,"3,306",360,"11,311","2,060","23,737","4,075","1,400"
 1983 Jan , na , na , na , na , na , na , na ,"32,815","5,771",201,"4,666","3,538","9,467","1,396","1,800","1,938",202,742,"13,768","5,409","3,355","1,972","3,107", na ,527,"2,699", na ,"3,688",475,"11,745","2,446","26,526","4,022","1,359"
 1983 Feb , na , na , na , na , na , na , na ,"33,740","11,397",94,"8,792","2,584","7,902","1,075","1,534","1,742",241,576,"12,304","5,146","2,677","1,585","2,816", na ,635,"2,061", na ,"3,482",393,"11,409","2,371","14,905","2,571",654
 1983 Mar , na , na , na , na , na , na , na ,"40,321","7,210",186,"6,769","3,096","8,802","1,305","1,938","1,766",305,645,"14,448","7,086","3,307","1,800","3,103", na ,815,"2,558", na ,"3,739",392,"14,274","2,357","19,143","3,261",804
 1983 Apr , na , na , na , na , na , na , na ,"24,018","7,822",183,"5,097","2,888","10,410","1,425","1,954","1,417",159,745,"12,314","5,610","3,425","1,574","3,245", na ,757,"1,988", na ,"3,133",441,"13,836","2,297","18,387","3,512",852
 1983 May , na , na , na , na , na , na , na ,"27,651","5,720",205,"5,572","3,136","16,807","1,368","1,919","1,215",208,623,"10,500","4,773","2,586","1,627","3,500", na ,600,"1,782", na ,"2,866",477,"14,578","2,598","23,422","5,416","1,037"
 1983 Jun , na , na , na , na , na , na , na ,"25,444","7,102",206,"4,000","2,932","14,707","1,301","1,882","1,440",225,724,"9,164","4,274","2,318","1,398","2,889", na ,534,"1,345", na ,"2,260",446,"14,221","1,968","22,287","5,727",815
 1983 Jul , na , na , na , na , na , na , na ,"28,034","9,014",322,"6,692","3,658","14,558","1,233","1,591","2,848",233,"1,193","12,554","5,601","3,912","1,677","4,686", na ,"1,121","2,057", na ,"2,371",450,"14,019","2,139","22,580","5,755",917
 1983 Aug , na , na , na , na , na , na , na ,"41,582","11,841",350,"6,451","3,272","15,477","1,420","1,720","2,147",186,847,"13,864","5,728","4,187","3,124","4,177", na ,826,"1,788", na ,"1,956",497,"13,521","2,117","24,729","7,157","1,044"
